TACC: Starting up job 6050088
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Duration: 0.082793 seconds
Index	x	y	mass	fx	fy
48	35.905144	64.647591	0.100000	-2007.747925	10377.572266
49	3.335598	0.545180	0.100000	55.199219	40.547852(--err)
49	3.335598	0.545180	0.100000	-56226.121094	9217.571289
50	32.585968	22.492561	0.100000	2.618652	-17.058350(--err)
50	32.585968	22.492561	0.100000	-7077.655273	-3351.269775
51	41.888927	95.534180	0.100000	0.000000	0.000000(--err)
51	41.888927	95.534180	0.100000	7782702080.000000	-5314173440.000000
52	39.786331	38.175758	0.100000	-136.410187	188.386902(--err)
52	39.786331	38.175758	0.100000	-332.215912	-697.120850
53	22.511009	49.393562	0.100000	2.338867	-3.767578(--err)
53	22.511009	49.393562	0.100000	11815.233398	-23758.468750
54	49.372158	70.778717	0.100000	-698835136.000000	-9249325056.000000(--err)
54	49.372158	70.778717	0.100000	698858816.000000	9249310720.000000
55	81.015793	37.719772	0.100000	-2043.976807	474.815918(--err)
55	81.015793	37.719772	0.100000	4061.629150	1347.058105
56	12.385900	52.731724	0.100000	-163.468750	39.207031(--err)
56	12.385900	52.731724	0.100000	28895.138672	-21431.468750
57	93.476265	53.874397	0.100000	0.000000	0.000000(--err)
57	93.476265	53.874397	0.100000	-713090121619996672.000000	-792421878428860416.000000
58	95.437653	9.762140	0.100000	-6.539062	7.468750(--err)
58	95.437653	9.762140	0.100000	-89274.703125	110148.742188
59	35.918205	51.689320	0.100000	29.473633	-86.662109(--err)
59	35.918205	51.689320	0.100000	15202.963867	1394.049316
60	81.656250	46.821621	0.100000	-76.927734	-65.061768(--err)
60	81.656250	46.821621	0.100000	-20778.603516	-2226.578857
61	99.002350	29.075205	0.100000	-6.388184	9.093994(--err)
61	99.002350	29.075205	0.100000	7461.498535	2769.896240
62	19.004370	8.647648	0.100000	-197.354004	-99.514648(--err)
62	19.004370	8.647648	0.100000	7069.386230	9949.939453
63	35.250931	54.909515	0.100000	2.466919	-9.593750(--err)
63	35.250931	54.909515	0.100000	1320.999023	8965.979492
64	73.295235	38.586529	0.100000	4352.000000	576.000000(--err)
64	73.295235	38.586529	0.100000	1440105728.000000	217185248.000000
65	55.454697	5.881208	0.100000	-0.777832	3.627930(--err)
65	55.454697	5.881208	0.100000	-779.817444	-8963.190430
66	61.079086	97.343620	0.100000	-1867.054688	577.328125(--err)
66	61.079086	97.343620	0.100000	38352.316406	109767.218750
67	1.415390	0.865416	0.100000	21.929688	11.472656(--err)
67	1.415390	0.865416	0.100000	56093.164062	-9492.998047
68	35.519382	23.926399	0.100000	160.328125	-5.050537(--err)
68	35.519382	23.926399	0.100000	6893.891602	3519.753174
69	50.258976	84.891541	0.100000	-90849.000000	15149.750000(--err)
69	50.258976	84.891541	0.100000	-7021915.500000	-2334176.000000
70	94.705116	31.274773	0.100000	-64.000000	128.000000(--err)
70	94.705116	31.274773	0.100000	-32773184.000000	-396893568.000000
71	22.611313	7.091014	0.100000	-101.469238	-40.847046(--err)
71	22.611313	7.091014	0.100000	3325.385254	-2039.949097
72	84.006500	16.087580	0.100000	544.000000	0.000000(--err)
72	84.006500	16.087580	0.100000	267241840.000000	2065234944.000000
73	60.965412	79.444153	0.100000	-1015.358643	706.567627(--err)
73	60.965412	79.444153	0.100000	-1812.666260	-4480.505859
74	25.849720	96.883621	0.100000	-254.485245	-78.524902(--err)
74	25.849720	96.883621	0.100000	-20.175644	2256.443604
75	31.133472	7.505971	0.100000	-282.753906	1083.447266(--err)
75	31.133472	7.505971	0.100000	22653.402344	22237.509766
76	43.705238	30.135818	0.100000	7.089111	-210.681946(--err)
76	43.705238	30.135818	0.100000	-3454.702148	-577.010315
77	36.581177	62.709606	0.100000	-48.187500	175.000000(--err)
77	36.581177	62.709606	0.100000	-461383.593750	-1390486.000000
78	38.783470	71.832100	0.100000	-407.999023	-328.747803(--err)
78	38.783470	71.832100	0.100000	-1389.545166	-2445.375488
79	17.619123	12.078706	0.100000	9019.281250	23245.804688(--err)
79	17.619123	12.078706	0.100000	382488.781250	46493.804688
80	10.418631	73.073814	0.100000	43.439575	-30.961914(--err)
80	10.418631	73.073814	0.100000	1476.216309	-3602.820801
81	17.959913	71.497719	0.100000	1162.532715	-1390.005859(--err)
81	17.959913	71.497719	0.100000	4994.184570	23125.285156
82	70.417442	19.375303	0.100000	205.685059	49.748779(--err)
82	70.417442	19.375303	0.100000	-522.806702	-3747.376709
83	72.363129	5.936824	0.100000	39.183594	37.718750(--err)
83	72.363129	5.936824	0.100000	-46893.449219	-48688.914062
